,Date,Next_Day_Close,Next_Day_Log_Return,Close,High,Low,Open,Volume,Sigma,Log_Return,Volatility_20D,MA_20,BOLL_Lower,BOLL_Upper,Pos_in_BBand,EMA_12,EMA_26,DIF,DEA,MACD,Dollar_Return,Gain ,RSI_6,RSI_12,RSI_24,Lowest_Low_9D,Highest_High_9D,Raw Stochastic Value,KDJ_K,KDJ_D,KDJ_J,KD_Diff,Overbought,Oversold,Log_Return_5D,Log_Return_Intra-day,Log_Hi_Lo_Ratio,Efficiency_Daily,Efficiency_Ratio_10D,Efficiency_Ratio_20D,Efficiency_Ratio_50D
1726,9/11/2021,438.303,-0.00808,441.858,443.928,440.440,443.692,51149100,8.599,-0.003,0.005,431.190,413.993,448.388,0.310,436.720,430.180,6.541,5.456,2.169,-1.465,0.000,85.154,83.318,82.070,430.579,444.949,78.487,87.642,91.483,79.959,-3.841,0.000,0.000,0.01179,-0.00414,0.008,-0.526,0.61530461,0.799406644,0.139755591
1727,10/11/2021,438.445,0.00032,438.303,441.858,436.809,440.156,69429700,7.356,-0.008,0.005,432.535,417.822,447.248,0.196,436.964,430.781,6.183,5.602,1.162,-3.555,0.000,56.969,67.752,74.645,430.683,444.949,53.413,76.232,86.400,55.898,-10.167,0.000,0.000,-0.00237,-0.00422,0.011,-0.367,0.476849636,0.575163468,0.10440082
1728,11/11/2021,441.754,0.00752,438.445,439.882,438.426,439.806,34848500,6.654,0.000,0.004,433.540,420.231,446.849,0.184,437.192,431.349,5.843,5.650,0.386,0.142,0.142,45.088,67.379,75.915,433.179,444.949,44.739,65.735,79.511,38.181,-13.777,0.000,0.000,-0.00675,-0.00310,0.003,-0.935,0.33913861,0.534328019,0.095604246
1729,12/11/2021,441.905,0.00034,441.754,442.312,438.766,439.721,53466700,6.257,0.008,0.004,434.552,422.037,447.066,0.288,437.894,432.120,5.774,5.675,0.198,3.309,3.309,51.639,77.829,82.373,434.956,444.949,68.023,66.497,75.173,49.145,-8.676,0.000,0.000,-0.00269,0.00461,0.008,0.573,0.430257689,0.562780237,0.121035991
1730,15/11/2021,443.654,0.00395,441.905,443.210,440.771,443.049,46980500,5.808,0.000,0.004,435.509,423.893,447.124,0.275,438.511,432.845,5.666,5.673,-0.014,0.151,0.151,44.223,73.087,84.214,435.665,444.949,67.210,66.735,72.360,55.484,-5.626,0.000,0.000,-0.00320,-0.00259,0.006,-0.469,0.410328288,0.518370577,0.136308385
1731,16/11/2021,442.576,-0.00243,443.654,444.798,441.565,441.640,48857500,5.628,0.004,0.004,436.390,425.133,447.646,0.323,439.302,433.645,5.657,5.670,-0.026,1.749,1.749,51.595,74.286,84.306,436.809,444.949,84.089,72.520,72.414,72.732,0.106,0.000,0.000,0.00406,0.00455,0.007,0.623,0.41000364,0.51955756,0.153518985
1732,17/11/2021,444.080,0.00339,442.576,443.569,441.952,443.389,47858300,5.398,-0.002,0.004,437.133,426.337,447.930,0.252,439.806,434.307,5.499,5.636,-0.273,-1.078,0.000,53.599,69.286,79.458,436.809,444.949,70.849,71.963,72.263,71.362,-0.301,0.000,0.000,0.00970,-0.00184,0.004,-0.503,0.209563049,0.44866111,0.160568985
1733,18/11/2021,443.285,-0.00179,444.080,444.344,440.875,443.616,50625600,5.238,0.003,0.004,437.896,427.421,448.371,0.295,440.463,435.031,5.433,5.595,-0.325,1.503,1.503,86.413,68.886,78.582,436.809,444.798,91.006,78.311,74.279,86.374,4.032,0.319,0.000,0.01277,0.00104,0.008,0.134,0.179392299,0.495082914,0.203556346
1734,19/11/2021,442.037,-0.00282,443.285,445.223,442.917,443.966,57315600,4.859,-0.002,0.004,438.642,428.925,448.359,0.239,440.897,435.642,5.255,5.527,-0.544,-0.794,0.000,78.194,61.120,76.297,436.809,445.223,76.966,77.863,75.474,82.641,2.389,0.132,0.000,0.00346,-0.00153,0.005,-0.295,0.024102087,0.417397162,0.188352072
1735,22/11/2021,442.624,0.00133,442.037,447.681,441.829,445.176,72762000,4.531,-0.003,0.004,439.210,430.148,448.272,0.156,441.073,436.116,4.957,5.413,-0.912,-1.248,0.000,52.174,51.846,71.633,436.809,447.681,48.087,67.937,72.961,57.889,-5.024,0.000,0.000,0.00030,-0.00708,0.013,-0.536,0.085750107,0.35320818,0.198645416
